last checked,Camp Name,Status,Location,Age,2026 Dates,Description,Hours,Pricing,Website
Done,4ft and Up Kitchen,In Person,Pacific Heights,Age 4 - 12,June 15 - August 21,Cooking camp,9:00am - 3:15pm,$775/week,https://www.4ftandupkitchen.com/summer-camp
Done,ABADA-Capoeira San Francisco,In Person,Mission,Age 5-12,June 8 - August 7,Capoeira camp,9:00am - 4:00pm,$550/child,https://abada.org/summer-camp/
Done,Acrosports,In Person,Cole Valley,Age 4.5-12,June 8 - August 14,Circus arts,8:45am - 3:00pm,Lottery,https://www.acrosports.org/camps/
Done,Adventure Camp,In Person,Presidio,Ages 4-12,June 4 - August 28,Mobile day camp,9:00am - 3:00pm,$725/session,adventurecampsf.com
Done,Aim High,In Person,San Francisco,Rising 5th - 8th,June 22 - July 24,Summer learning,8:30am - 3:30pm,Free,https://aimhigh.org/summer-2026/
Done,Alta Vista School Camp,In Person,Portola,Kinder - 6th,June 22 - July 31,Various activities,9:00am - 3:00pm,$350 - $675,https://www.homeroom.com
Done,Alonzo King LINES Ballet Camp,In Person,SOMA,Age 11-17,June 29 - August 1,Ballet,Varies,Varies,https://linesballet.org
Done,ANTS Sports,In Person,Sunset and Cole Valley,K - 5th Grade,June 4 - August 14,Multi-sport,9:00am - 4:00pm,$495/week,https://www.antssports.com/summer-sf/
Done,Artifact,In Person,Cow Hollow,Age 4-13,May 25 - August 28,Art camp,9:00am - 3:00pm,$590-$735,https://www.sfartifact.com
Done,ASEP Camp,In Person,TBD,Age 4 - 11,June 8 - July 22,STEAM,8:00am - 5:00pm,$350/week,https://www.asepsf.org
Done,Aventuras,In Person,Mission,Kinder - 5th,June 5 - August 15,Experiential learning,9:30am - 4:30pm,$600/week,https://www.aventurassf.com
Done,Barrios Martial Arts,In Person,Potrero Hill,Age 4-11,June 16 - August 1,Martial arts,9:00am - 4:00pm,$625-$675/week,https://www.barriosmartialarts.com
Done,Bay Club,In Person,Financial District,Ages 3 - 17,Must login,Sports camps,Varies,Varies,https://www.bayclubs.com
Done,Bird Rock Star Summer Music Camp,In Person,Russian Hill,Grades 2 - 9,June 8 - August 21,Music camp,10:00am - 5:00pm,$550-$800,https://www.bird-sf.com/camps
Done,Buena Vista Spanish Immersion,In Person,Mission,Kinder - 4th,Register for Dates,Spanish immersion,9:00am - 4:00pm,$600/week,https://www.buenavistachildcare.org
Done,Butterfly Joint,In Person,Outer Richmond,Grade 1+,June 9 - August 22,Woodworking,9:00am - 3:00pm,$475 - $530/week,http://thebutterflyjoint.com/
Done,Calvary Nursery School,In Person,Pacific Heights,Age 2.5 - 6,June 16 - August 8,Preschool camp,8:30am - 3:00pm,$400-$675,https://www.calvarynurseryschoolsf.org
Done,Camp 4K,In Person,Inner Sunset,Grades 1 - 7,June 8 - June 26,Arts and Tech,9:30am - 3:30pm,$1350/three weeks,https://www.camp4k.com/
Done,Camp Commotion,In Person,Mission,Age 2 - 6,June 30 - August 1,Movement,Contact for info,$500/week,https://www.projectcommotion.org
Done,Camp Doodles,In Person,Hayes Valley,PreK - 10th,June 15 - August 14,Multi-activity,9:00am - 4:00pm,Varies,http://campdoodles.com/
Done,Camp Firedragon,In Person,Park Merced,Age 2.5-14,June 15 - August 21,CAIS camp,8:30am - 4:00pm,Varies,https://campfiredragon.org/
Done,CampQuest,In Person,Inner Sunset,Grades 1 - 6,June 29 - July 10,Cantonese immersion,9:15am - 3:45pm,$850/two weeks,https://campcquest.com/
Done,Canvas Dance Arts,In Person,Central Richmond,Grades K - 8,June 22 - July 31,Dance,9:00am - 3:00pm,$560/week,https://canvasdancearts.com
Done,Celsius and Beyond,In Person,Inner Richmond,Grades 1-9,June 9 - August 21,Science camp,9:00am - 4:00pm,$735/week,https://celsiusandbeyond.com
Done,Children's Creativity Museum,In Person,SOMA,Age 5 - 14,July 7 - August 1,Theater,9:00am - 4:00pm,$300 - $1150,https://creativity.org/summercamps/
Done,Children's Day School,In Person,Mission,Preschool - 8th,June 22 - August 7,Various,Register,Register,http://camp.cds-sf.org/
Done,Chris Babcock Art Camp,In Person,Central Richmond,Age 6.5 - 17,June 8 - September 4,Art camp,9:00am - 3:00pm,$799/week,https://chrisbabcockartprep.org
Done,Church of Clown,In Person,Bayview,Age 7 - 13,July 7 - July 18,Circus,9:00am - 3:00pm,$500/week,https://www.churchofclown.org
Done,Ciclo Sewing Lab,In Person,Inner Sunset,Age 6 - 14,June 8 - August 21,Sewing,9:30am - 3:00pm,$720/week,https://ciclosf.com/
Done,Circus Center,In Person,Cole Valley,Age 7-13,June 8 - August 14,Circus arts,9:00am - 3:00pm,$650/week,http://circuscenter.org/camp
Done,City Kids Summer Camp,In Person,Golden Gate Park,Age 8-12,June 8 - August 21,Outdoor,8:30am - 4:00pm,$550/week,https://www.sfcitykidcamp.com/
Done,Camp CMC,In Person,Outer Richmond,Age 9-14,Dates vary,Music,9:00am - 3:00pm,Varies,https://sfcmc.org
Done,Camp SFS,In Person,Portola,PreK - 8th,June 15 - July 24,Various,9:00am - 3:30pm,Varies,https://the-san-francisco-school.jumbula.com
Done,Chabad Jewish Kids Camp,In Person,West Portal,Age 4 - 10,June 4 - June 26,Jewish camp,9:00am - 4:00pm,$425/week,https://www.chabadneighborhood.com
Done,Coastal Camp,In Person,Marin Headlands,Grade K - 12,June 15 - August 14,Nature,9:30am - 3:30pm,$595-$695/week,https://coastalcamp.org/
Done,Coder School,In Person,Inner Richmond,Age 7 - 10+,June 8 - August 14,Coding,9:00am - 3:00pm,$599/week,https://www.thecoderschool.com
Done,Creative IQ Art Camp,In Person,Outer Richmond,Age 7-17,June 4 - August 21,Art,9:00am - 3:00pm,$640/week,https://www.creativeiqsf.com
Done,Culinary Artistas,In Person,Russian Hill,Age 4-10,June 8 - August 28,Cooking,9:00am - 3:00pm,$840/week,https://culinaryartistas.com
Done,Dahlia School,In Person,Mission Bay,Age 2-11,June 5 - July 26,Various,Varies,Varies,https://thedahliaschoolsf.org
Done,Dance Mission Theater,In Person,Mission,Girls Age 6-13,June 8 - June 26,Dance,Varies,Varies,http://www.dancemission.com
Done,Dance Training Center SF,In Person,Central Richmond,Girls Age 8+,Varies,Dance,Varies,Varies,https://www.dtc-sf.com/
Done,Dogpatch Games Camp,In Person,Dogpatch,Age 8-17,June 15 - August 14,Board games/D&D,9:00am - 5:00pm,$725 - $895,https://www.dogpatch.games
Done,Dogpatch Paddle,In Person,Dogpatch,Age 7-16,June 1 - August 21,Paddle sports,8:30am - 3:00pm,Varies,https://dogpatchpaddle.com
Done,Education Francais Bay Area,In Person,Sunset,Age 4 - 12,June 11 - August 7,French immersion,8:30am - 3:00pm,Varies,https://efba.us
Done,Eureka Valley Arts,In Person,Diamond Heights,Age 5 - 12,June 9 - August 15,Art,9:00am - 5:00pm,$575/week,https://eurekavalleyarts.com/
Done,Fightin Irish Sports,In Person,Fillmore,Age 9-14,June 8 - July 17,Sports,9:00am - 3:00pm,$525/week,https://www.shcp.edu/summer
Done,First Tee,In Person,Park Merced,Age 6-17,June 9 - August 9,Golf,Varies,$300-$700,https://firstteesanfrancisco.org
Done,Forest Bloom,In Person,Golden Gate Park,Age 2.5 - 6,June 4 - September 4,Nature,9:00am - 3:00pm,Varies,https://forestbloomschool.com
Done,Frame Art Studio,In Person,Portola,Age 5 - 12,June 9 - July 25,Art,10:00am - 2:00pm,$360,https://frameartstudio.com
Done,Galileo,In Person,Hayes Valley,K - 10th,June 22 - August 14,Innovation,9:00am - 3:00pm,$540-$610/week,http://www.galileo-camps.com/
Done,Gem Studio,In Person,Mission,Age 5-12,June 9 - August 15,Multi-media art,9:00am - 3:00pm,$550-$575/week,https://www.gemstudiosf.com
Done,German International School,In Person,Castro,PreK - 8th,June 29 - July 31,German immersion,9:00am - 4:00pm,$590/week,https://www.gissv.org
Done,Giants Baseball Camp,In Person,West Sunset,Age 4 - 15,June 8 - August 14,Baseball,9:00am - 3:00pm,$695 - $795/week,https://www.mlb.com/giants
Done,Girlfly,In Person,Civic Center,Girls Age 14-19,July 6 - July 30,Aerial dance,10:00am - 3:00pm,Apply,https://flyawayproductions.com
Done,Girls Unite,In Person,TBD,Age 5 - 15,June 5 - August 21,Soccer,9:00am - 3:00pm,Varies,https://girlsunite.org
Done,Golden Bridges Farm Camp,In Person,Mission Terrace,Age 4.5-12,June 15 - August 14,Farm,9:00am - 3:00pm,$500/week,https://www.goldenbridgesschool.org
Done,Golden Gate Art & Nature,In Person,Laurel Heights,Age 3-7,June 2 - August 15,Art/nature,Varies,$600 - $700/week,https://ggartnature.com/
Done,Golden Gate Skateboarding,In Person,Waller St,Age 6-14,June 9 - August 29,Skateboarding,9:30am - 3:30pm,$525/week,https://goldengateskateboarding.com
Done,Goldman Tennis Center,In Person,Golden Gate Park,Age 4-15,June 2 - August 15,Tennis,Varies,Varies,https://www.lifetimeactivities.com
Done,Grasshopper Kids Camp,In Person,Your home,Age 3-12,June 1 - August 31,Various,9:00am - 12:00pm,Varies,https://www.grasshopperkids.com
Done,Lion's Camp at Hamlin,In Person,Pacific Heights,Grades 1-9,June 22 - August 21,Various,9:00am - 3:00pm,Varies,https://hamlin.org/summer-camp/
Done,Hilltop Creative,In Person,Bernal Heights,Age 4 - 10,June 5 - August 14,Creative,9:00am - 4:00pm,$750/week,https://www.hilltopcreative.studio
Done,House of Air,In Person,Crissy Field,Age 6 - 12,June 8 - August 21,Trampoline,Varies,Varies,https://houseofair.com
Done,iD Tech Camp,In Person,Park Merced,Age 7-17,June 15 - July 24,Tech,Check site,Check site,https://www.idtech.com
Done,Infinite Martial Arts,In Person,Marina,Age 3-12,June 1 - August 28,Martial arts,9:30am - 3:00pm,Register,https://infinite-martialarts.com
Done,Intro to Fencing,In Person,Mission Bay,Age 5 - 14,July 6 - August 21,Fencing,9:00am - 12:00pm,$600/week,https://gsfencers.com
Done,It's Yoga Kids,In Person,Presidio,Age 4-12,June 9 - August 29,Yoga/nature,9:00am - 2:00pm,$499/week,https://www.itsyogakids.com
Done,JCCSF,In Person,Presidio Heights,Age 2 - 16,May 26 - August 21,Various,Varies,$465+,https://www.jccsf.org
Done,Jim Millinder Girls Soccer,In Person,Lone Mountain,Age 5 - 12,June 5 - July 26,Soccer,8:30am - 4:00pm,$299-$599,http://www.jimmillindersusfgirlssoccercamp.com/
Done,Just Us Dragons,In Person,Inner Richmond,Grades 2-6,July 6 - July 17,Art,8:30am - 4:00pm,$575/week,https://www.justusdragons.com/
Done,Katherine Michiels School,In Person,Mission,Age 5-11,June 1 - August 7,Reggio Emilia,9:30am - 3:00pm,$1600/three weeks,https://www.kmsofsf.org
Done,Kidstock,In Person,Inner Sunset,Kinder - 8th,June 8 - August 14,Musical theater,9:00am - 3:00pm,Varies,https://kidstockinc.org
Done,Kittredge School,In Person,Seacliff,Grades 1 - 8,June 22 - July 24,Academic/rec,Register,Register,https://www.kittredge.org
Done,La Scuola,In Person,Dogpatch,PreK - 5th,June 22 - July 24,Italian immersion,9:00am - 4:00pm,Varies,https://www.lascuolasf.org
Done,Legarza Sports,In Person,Glen Park,Grades K - 8,June 8 - August 14,Sports,Varies,Varies,http://www.legarzasports.org/
Done,Little Forest Explorers,In Person,Golden Gate Park,Ages 3 - 9,June 16 - July 25,Forest school,8:45am - 3:00pm,Register,https://www.littleforestexplorers.com
Done,Little Llamas,In Person,Outer Richmond,Age 3 - 10,July 7 - July 25,Spanish immersion,9:00am - 3:00pm,$650/week,https://thelittlellamas.com/
Done,The Little Studio,In Person,Hayes Valley,Kinder - 4th,July 13 - July 24,Art,9:00am - 1:30pm,$500-$675/week,https://www.thelittlestudio-sf.com/
Done,Lycee Francais,In Person,Haight,PreK - 5th,June 16 - August 21,French,9:00am - 4:00pm,Varies,https://www.lelycee.org
Done,Manos,In Person,Outer Sunset,Age 4-11,June 4 - August 14,Various,9:00am - 2:00pm,$625/week,https://www.manossf.com
Done,Mathnasium,In Person,Marina,Grades K-5,June 9 - August 15,Math,9:00am - 3:00pm,$695/Week,https://www.mathnasium.com
Done,Messy Art Lab,In Person,Inner Sunset,Age 4-8,June 8 - August 21,Art,9:00am - 3:00pm,$850/week,www.messyartlab.com
Done,Movement SF,In Person,Presidio,Age 6 - 17,June 8 - August 14,Climbing,Varies,Varies,https://movementgyms.com
Done,Moving Arts Academy,In Person,Mission Terrace,Age 4 - 13,June 8 - August 14,Dance,9:00am - 3:00pm,$600/week,https://movingartsacademyofdance.com
Done,Music Art Adventure,In Person,Presidio,Kinder - 5th,June 15 - August 14,Music/art,9:00am - 4:00pm,$615 - $1055,http://www.MusicArtAdventure.com
Done,Musical Theatre Works,In Person,Cathedral Hill,K - 9th,June 8 - August 7,Musical theater,Varies,Varies,https://musicaltheatreworks.org
Done,Mythik Camp,In Person,Golden Gate Park,Grades 2 - 6,June 22 - July 31,Fantasy/leadership,8:45am - 4:00pm,$625/week,https://www.mythikcamps.com
Done,Nike Soccer Camp,In Person,Outer Sunset,Age 7-14,June 8 - July 10,Soccer,Register,Register,https://www.ussportscamps.com
Done,Nine Studio,In Person,Russian Hill,Age 6-14,June 15 - August 28,Art,9:00am - 3:00pm,Register,https://www.nine.education/
Done,ODC,In Person,Mission,Age 8-17,June 8 - July 24,Dance,Varies,Varies,https://odc.dance
Done,One Martial Arts,In Person,Inner Parkside,Age 5 - 12,Register,Martial arts,Register,Register,https://onemartialarts.com
Done,Outsider ArtShop,In Person,Mission,Age 7-11,June 17 - August 16,Sewing,9:00am - 3:00pm,$600/week,https://www.outsiderartshop.com
Done,Parks + Creation Coyote Camp,In Person,Presidio,Age 3-10,June 8 - August 7,Nature,Varies,Varies,https://www.parkspluscreation.com
Done,Peekadoodle Preschool,In Person,Inner Richmond,Age 3-5,June 15 - August 20,Preschool,8:45am - 12:45pm,$725/week,https://www.peekadoodle.com
Done,Petits Pas Yoga & Dance,In Person,Balboa Terrace,Age 5-10,June 8 - July 17,Dance/yoga,9:00am - 3:00pm,$725-$1450,https://www.petitspasstudio.com
Done,Presidio Knolls,In Person,SOMA,Kinder - 8th,June 23 - August 15,Mandarin,Varies,Varies,https://www.presidioknolls.org
Done,Rabbit Hole Theater,In Person,Noe Valley,Age 4 - 11,June 4 - September 7,Theater,9:00am - 4:00pm,Varies,http://www.therabbitholesf.com
Done,Randall Museum,In Person,Upper Market,Age 6 - 12,June 9 - August 1,Science/art,Varies,Varies,https://randallmuseum.org/
Done,Renegade Tinkering,No Camps This Summer,Park Merced,Grade 1 - 5,June 5 - August 11,STEM,9:00am - 5:00pm,$595/week,http://www.renegadegirlstinkeringclub.com/
Done,Richmond Neighborhood Center,In Person,Central Richmond,Grade 1 - 12,Varies,Various,Varies,Sliding Scale,https://richmondsf.org
Done,Rock Band Land,In Person,Mission,Ages 6 - 13,June 4 - August 28,Music,9:00am - 4:00pm,$775-$1500,https://www.rockbandland.org
Done,Roughin It,In Person,Lafayette,Ages 4-16,June 15 - August 7,Outdoor,Check Site,Check Site,https://www.roughingit.com/
Done,Russo Music,In Person,Noe Valley,Age 5-12,June 15 - July 17,Music,9:00am - 3:00pm,$600/week,https://www.russomusicsf.com/
Done,Sacred Heart Summer,In Person,Fillmore,Grades 3 - 9,June 8 - July 17,Enrichment,9:00am - 3:00pm,$525/week,https://www.shcp.edu/summer
Done,Seabird Preschool,In Person,Financial District,Age 2 - 6,June 9 - August 15,Preschool,7:30am - 5:30pm,$550-$680/week,https://www.seabirdpreschool.com
Done,Secret Agent Squad,In Person,Diamond Heights,Age 6 - 12,June 8 - August 21,Spy camp,9:00am - 4:00pm,$560/week,https://www.secretagentsquad.com/
Done,Seeing School,In Person,Presidio,Age 8 - 12,June 8 - August 13,Photography,9:00am - 3:00pm,$1200/week,https://www.seeingschool.org
Done,SF Aftershocks Soccer,In Person,South Sunset,Age 7 - 14,June 16 - August 22,Soccer,9:00am - 3:00pm,$425/week,https://sfaftershocks.com/
Done,SF Arts Education,In Person,Western Addition,Age 6 - 14,June 15 - July 24,Arts,9:00am - 3:00pm,$550-$1130,https://www.sfartsed.org
Done,SF Baseball Camp,In Person,Inner Richmond,Age 6-13,June 8 - August 21,Baseball,9:00am - 3:00pm,$165-$630,https://www.sfbaseballacademy.com
Done,SF Botanical Garden Camp,In Person,Golden Gate Park,Age 5-10,June 29 - August 14,Garden,9:00am - 4:00pm,$1160-$1300,https://gggp.org
Done,SF Fencers,In Person,Outer Richmond,Age 7 - 14,June 15 - August 7,Fencing,1:00pm - 4:00pm,$400/week,http://sffencers.com
Done,SF Gymnastics,In Person,Western Addition,Age 4.5 - 12,Register,Gymnastics,Register,Register,https://sanfranciscogymnastics.com
Done,SF Math Circle,In Person,Park Merced,Rising 3 - 6,June 22 - August 7,Math,9:00am - 3:00pm,$500/week,https://www.sfmathcircle.org
Done,SF Parks & Rec,In Person,All over city,Age 4 - 19,June 9 - August 15,Various,9:00am - 3:00pm,$150-$420,https://apm.activecommunities.com/sfrecpark
Done,SF Seals Soccer,In Person,Beach Chalet,Age 4 - 15,June 8 - August 14,Soccer,9:00am - 3:00pm,$375-$425/week,https://www.sfseals.com
Done,SF Shakespeare Camp,In Person,MacLaren Park,Age 7-18,July 6 - July 30,Shakespeare,9:00am - 3:00pm,Register,https://sfshakes.org
Done,SF Spanish,In Person,Fillmore,Age 6-10,Varies,Spanish,Varies,Varies,http://sfspanish.ning.com/
Done,SF United Soccer,In Person,Beach Chalet,Age 8 - 12,Register,Soccer,Register,Register,https://www.sf-united.com
Done,SF Vikings Soccer,In Person,Golden Gate Park,Age 4 - 12,July 6 - August 14,Soccer,9:00am - 4:00pm,$350-$550/week,https://sfvikings.org
Done,SF Youth Theater,In Person,Mid-Market,Grades 1 - 12,June 16 - August 16,Theater,Varies,Varies,https://sfyouththeatre.org
Done,SF Zoo Camp,In Person,Outer Parkside,Age 5-12,June 15 - August 7,Zoo,9:00am - 3:30pm,$500-$550/week,https://www.sfzoo.org
Done,Sherith Israel Preschool,In Person,Pacific Heights,Age 2-5,June 29 - July 31,Preschool,8:30am - 3:30pm,Varies,https://www.sherithisrael.org
Done,SK8 GYM,In Person,Aptos Park,Age 6-14,June 8 - August 14,Skating,9:00am - 3:00pm,Varies,https://www.sk8gym.com
Done,Soccer Insight,In Person,Presidio,Age 4.5 - 13,June 8 - August 21,Soccer,9:00am - 3:00pm,$495/week,https://soccerinsight.com/
Done,South Beach Yacht Club,In Person,South Beach,Age 8-16,June 8 - August 14,Sailing,9:00am - 4:00pm,$700/week,https://southbeachyachtclub.org
Done,Spy Camp,In Person,Hayes Valley,Age 6.5-10,June 8 - August 28,Spy skills,9:00am - 4:00pm,$590/week,http://adventurous.com/spycamp/
Done,Stemful,In Person,Bernal Heights,Age 3.5-9.5,June 2 - August 29,STEAM,9:00am - 3:00pm,$690-$725/week,https://sf-stemful.com
Done,Steve & Kates,In Person,Mission,Age 4 - 12,June 22 - August 14,Multi-activity,8:00am - 6:00pm,$115-$129/day,http://steveandkatescamp.com/
Done,Stratford School,In Person,Central Richmond,PreK - 8th,June 3 - August 8,STEAM,Varies,Varies,https://www.stratfordschools.com
Done,Stretch the Imagination,In Person,Pacific Heights,Ages 2-5.9,June 10 - August 16,Preschool/nature,Varies,Varies,https://stretchtheimagination.com
Done,Stuart Hall Convent,In Person,Pacific Heights,K - 8th,June 22 - July 17,Academic/rec,Varies,Register,https://www.sacredsf.org
Done,SummerGATE,In Person,Outer Sunset,K - 8th,June 15 - August 7,Enrichment,8:45am - 4:30pm,$1200/two weeks,https://www.summergatesf.org/
Done,Sunshine Art House,In Person,Inner Richmond,1st - 5th,June 8 - August 21,Art,9:00am - 3:00pm,$583/week,https://www.sunshinearthouse.com/
Done,Synergy,In Person,Mission,K - 6th,June 8 - August 14,Day camp,8:15am - 3:00pm,Varies,https://www.synergyschool.org
Done,TechKnowHow,In Person,Glen Park,Age 5 - 12,June 8 - August 7,Tech/LEGO,9:00am - 3:30pm,$550/week,http://www.techknowhowkids.com/
Done,TechRevolution,In Person,Park Merced,Age 6-14,June 15 - July 31,Tech,9:00am - 3:00pm,Varies,https://www.lavnercampsandprograms.com/
Done,TEC REC,In Person,Richmond,Grade 1 - 8,June 16 - August 8,STEM/sports,8:00am - 6:00pm,$380-$450,https://www.youthsf.org
Done,Tenacious Tennis,In Person,Park Merced,Age 4 - 18,June 1 - August 21,Tennis,Register,Register,https://www.tenacioustennis.com
Done,Terra Marin,In Person,Marin and SF,Age 3 - 10,Register,Nature,Register,Register,https://www.terraschools.org
Done,Tinkering School,In Person,Presidio,Age 8 - 15,June 23 - August 8,Building,9:00am - 3:30pm,$675-$775/week,http://www.tinkeringschool.com/
Done,Tomodachi,In Person,Lower Pacific Heights,Grades K - 9,June 15 - August 7,Japanese culture,8:00am - 5:30pm,$320/week,https://www.jcyc.org
Done,Treasure Island Sailing,In Person,Treasure Island,Age 8 - 17,June 10 - August 2,Sailing,9:00am - 4:00pm,Varies,https://www.tisailing.org
Done,Tree Frog Treks,In Person,Golden Gate Park,K - 9th,June 8 - August 21,Nature/science,9:00am - 5:00pm,$555-$795/week,http://www.treefrogtreks.com
Done,Tutu School,In Person,North Beach,Age 3-8,June 23 - July 3,Ballet,9:00am - 2:00pm,$463-$578/week,https://www.tutuschool.com
Done,US Sports Camp,In Person,Various,Age 5-18,June 8 - July 15,Various sports,Varies,Varies,https://www.ussportscamps.com
Done,Wah Mei,In Person,Inner Sunset,Grade 1 - 6,June 17 - August 9,Chinese bilingual,8:30am - 5:30pm,$1350-$2600,https://www.wahmei.org
Done,Wheelhouse Clay,In Person,Lower Pacific Heights,Age 6 - 16,June 8 - July 24,Ceramics,9:00am - 12:00pm,$395,https://www.wheelhouseclaysf.com
Done,Wheel Kids Bicycle,In Person,Central Richmond,K - 7th,June 8 - August 24,Biking,8:30am - 4:00pm,Varies,http://wheelkids.com
Done,Yerba Buena Skate Bowl,In Person,SOMA,Age 7-12,June 16 - August 15,Skating/bowling,8:30am - 5:30pm,$580/week,https://www.skatebowl.com
Done,YMCA,In Person,Various,K - 12th,Varies,Various,7:30am - 6:00pm,$200-$450/week,https://www.ymcasf.org
Done,Zaccho Dance,In Person,Bayview,Age 7 - 11,July 11 - July 15,Aerial dance,9:00am - 3:00pm,$500,http://zaccho.org
